frame_timestamp_global,frame_timestamp_local,i_video,i_entity,label,state_left_arm_up,state_left_arm_down,state_left_leg_up,state_left_leg_down,state_right_arm_up,state_right_arm_down,state_right_leg_up,state_right_leg_down,state_jump,state_duck
805,42,1,3,1970,down,down,down,down,down,down,down,down,down,up
830,0,2,4,1970,up,up,down,down,down,down,down,down,down,up
835,1,2,4,1970,up,up,down,down,down,down,down,down,down,up
840,2,2,4,1970,up,up,down,down,down,down,down,down,down,up
845,3,2,4,1970,up,up,down,down,down,down,down,down,down,up
850,4,2,4,1970,up,up,down,down,up,up,down,down,down,up
855,5,2,4,1970,up,up,down,down,up,up,down,down,down,up
860,6,2,4,1970,down,down,down,down,down,down,down,down,down,up
865,7,2,4,1970,up,up,down,down,down,down,down,down,down,up
870,8,2,4,1970,up,up,down,down,up,up,down,down,down,up
875,9,2,4,1970,up,up,down,down,up,up,down,down,down,up
880,10,2,4,1970,up,up,down,down,down,down,down,down,down,up
885,11,2,4,1970,down,down,down,down,down,down,down,down,down,up
890,12,2,4,1970,up,up,down,down,up,up,down,down,down,up
895,13,2,4,1970,up,up,down,down,up,up,down,down,down,up
900,14,2,4,1970,up,up,down,down,up,up,down,down,down,up
905,15,2,4,1970,up,up,down,down,up,up,down,down,down,up
910,16,2,4,1970,up,up,down,down,up,up,down,down,down,up
915,17,2,4,1970,up,up,down,down,up,up,down,down,down,up
920,18,2,4,1970,down,down,down,down,down,down,down,down,down,up
930,20,2,4,1970,down,down,down,down,down,down,down,down,down,up
935,21,2,4,1970,down,down,down,down,down,down,down,down,down,up
940,22,2,4,1970,down,down,down,down,down,down,down,down,down,up
945,23,2,4,1970,down,down,down,down,down,down,down,down,down,up
950,24,2,4,1970,down,down,down,down,down,down,down,down,down,up
955,25,2,4,1970,down,down,down,down,down,down,down,down,down,up
960,26,2,4,1970,down,down,down,down,down,down,down,down,down,up
965,27,2,4,1970,down,down,down,down,down,down,down,down,down,up
970,28,2,4,1970,down,down,down,down,down,down,down,down,down,up
975,29,2,4,1970,down,down,down,down,down,down,down,down,down,up
980,30,2,4,1970,down,down,down,down,down,down,down,down,down,up
985,31,2,4,1970,down,down,down,down,up,up,down,down,down,up
990,32,2,4,1970,up,up,up,up,up,up,down,down,down,up
995,33,2,4,1970,up,up,down,down,up,up,down,down,down,up
1000,34,2,4,1970,up,up,down,down,up,up,down,down,down,up
1005,35,2,4,1970,up,up,down,down,down,down,down,down,down,up
1010,36,2,4,1970,down,down,down,down,down,down,down,down,down,up
1045,0,3,5,1970,down,down,down,down,up,up,down,down,down,up
1050,1,3,5,1970,down,down,down,down,down,down,down,down,down,up
1055,2,3,5,1970,up,up,up,up,down,down,down,down,down,up
1060,3,3,5,1970,up,up,down,down,down,down,down,down,down,up
1065,4,3,5,1970,up,up,down,down,up,up,down,down,down,up
1070,5,3,5,1970,up,up,down,down,down,down,down,down,down,up
1075,6,3,5,1970,up,up,down,down,up,up,down,down,down,up
1080,7,3,5,1970,down,down,down,down,up,up,down,down,down,up
1085,8,3,5,1970,up,up,down,down,up,up,down,down,down,up
1090,9,3,5,1970,up,up,down,down,up,up,down,down,down,up
1095,10,3,5,1970,down,down,down,down,up,up,down,down,down,up
1100,11,3,5,1970,down,down,down,down,up,up,down,down,down,up
1105,12,3,5,1970,up,up,down,down,up,up,down,down,down,up
1110,13,3,5,1970,down,down,down,down,down,down,down,down,up,up
1115,14,3,5,1970,down,down,down,down,up,up,down,down,down,up
1120,15,3,5,1970,down,down,up,up,up,up,down,down,down,up
1125,16,3,5,1970,up,up,down,down,up,up,down,down,down,up
1130,17,3,5,1970,up,up,up,up,up,up,down,down,down,up
1140,19,3,5,1970,up,up,down,down,up,up,down,down,down,up
1145,20,3,5,1970,up,up,down,down,up,up,down,down,down,up
1150,21,3,5,1970,up,up,down,down,up,up,up,up,down,up
1155,22,3,5,1970,up,up,up,up,up,up,up,up,down,up
1160,23,3,5,1970,up,up,down,down,down,down,down,down,down,up
1165,24,3,5,1970,up,up,down,down,up,up,up,up,down,up
1170,25,3,5,1970,up,up,down,down,up,up,down,down,down,up
1175,26,3,5,1970,up,up,up,up,up,up,down,down,down,up
1180,27,3,5,1970,up,up,down,down,up,up,up,up,down,up
1185,28,3,5,1970,up,up,down,down,up,up,down,down,down,up
1190,29,3,5,1970,up,up,down,down,up,up,down,down,down,up
1195,30,3,5,1970,up,up,down,down,up,up,down,down,down,up
1200,31,3,5,1970,up,up,down,down,up,up,down,down,down,up
1205,32,3,5,1970,down,down,down,down,down,down,down,down,down,up
1225,0,4,6,1970,down,down,down,down,down,down,down,down,down,up
1230,1,4,6,1970,down,down,down,down,down,down,down,down,down,up
1235,2,4,6,1970,down,down,down,down,down,down,down,down,down,up
1240,3,4,6,1970,down,down,down,down,down,down,down,down,down,up
1245,4,4,6,1970,down,down,down,down,down,down,down,down,down,up
1250,5,4,6,1970,down,down,down,down,down,down,down,down,down,up
1255,6,4,6,1970,down,down,down,down,down,down,down,down,down,up
1260,7,4,6,1970,down,down,down,down,down,down,down,down,down,up
1265,8,4,6,1970,down,down,down,down,down,down,down,down,down,up
1270,9,4,6,1970,down,down,down,down,down,down,down,down,down,up
1275,10,4,6,1970,down,down,down,down,down,down,down,down,down,up
1280,11,4,6,1970,down,down,down,down,down,down,down,down,down,up
1285,12,4,6,1970,down,down,down,down,down,down,down,down,down,up
1290,13,4,6,1970,down,down,down,down,down,down,down,down,down,up
1295,14,4,6,1970,down,down,down,down,down,down,down,down,down,up
1300,15,4,6,1970,up,up,down,down,up,up,down,down,down,up
1305,16,4,6,1970,up,up,down,down,up,up,down,down,down,up
1310,17,4,6,1970,up,up,down,down,up,up,down,down,down,up
1315,18,4,6,1970,up,up,down,down,up,up,down,down,down,up
1320,19,4,6,1970,up,up,down,down,up,up,down,down,down,up
1325,20,4,6,1970,up,up,down,down,up,up,down,down,down,up
1330,21,4,6,1970,up,up,down,down,up,up,down,down,down,up
1335,22,4,6,1970,up,up,down,down,up,up,down,down,down,up
1340,23,4,6,1970,up,up,down,down,up,up,down,down,down,up
1345,24,4,6,1970,up,up,down,down,up,up,down,down,down,up
1350,25,4,6,1970,up,up,down,down,up,up,down,down,down,up
1355,26,4,6,1970,up,up,down,down,up,up,down,down,down,up
1360,27,4,6,1970,down,down,down,down,down,down,down,down,down,up
1365,28,4,6,1970,down,down,down,down,down,down,down,down,down,up
1370,29,4,6,1970,down,down,down,down,down,down,down,down,down,up
1375,30,4,6,1970,down,down,down,down,down,down,down,down,down,up
1380,31,4,6,1970,down,down,down,down,down,down,down,down,down,up
1385,32,4,6,1970,down,down,down,down,down,down,down,down,down,up
1390,33,4,6,1970,up,up,down,down,up,up,down,down,down,up
1395,34,4,6,1970,up,up,down,down,up,up,down,down,down,up
1400,35,4,6,1970,up,up,down,down,up,up,down,down,down,up
1405,36,4,6,1970,up,up,down,down,up,up,down,down,down,up
1410,37,4,6,1970,up,up,down,down,up,up,down,down,down,up
1415,38,4,6,1970,up,up,down,down,up,up,down,down,down,up
1420,39,4,6,1970,up,up,down,down,up,up,down,down,down,up
1425,40,4,6,1970,up,up,down,down,up,up,down,down,down,up
1430,41,4,6,1970,up,up,down,down,up,up,down,down,down,up
1435,42,4,6,1970,up,up,down,down,up,up,down,down,down,up
1440,43,4,6,1970,up,up,down,down,up,up,down,down,down,up
1445,44,4,6,1970,up,up,down,down,up,up,down,down,down,up
1450,45,4,6,1970,down,down,down,down,down,down,down,down,down,up
1485,0,5,7,1970,up,up,down,down,down,down,up,up,down,up
1490,1,5,7,1970,up,up,down,down,down,down,down,down,down,up
1495,2,5,7,1970,up,up,down,down,down,down,up,up,down,up
1500,3,5,7,1970,up,up,down,down,down,down,down,down,down,up
1505,4,5,7,1970,up,up,down,down,down,down,down,down,down,up
1510,5,5,7,1970,up,up,down,down,down,down,down,down,down,up
1515,6,5,7,1970,up,up,up,up,down,down,down,down,down,up
1520,7,5,7,1970,up,up,down,down,down,down,down,down,down,up
1525,8,5,7,1970,up,up,down,down,down,down,down,down,down,up
1530,9,5,7,1970,up,up,down,down,down,down,down,down,down,up
1535,10,5,7,1970,up,up,up,up,down,down,down,down,down,up
1540,11,5,7,1970,up,up,up,up,down,down,down,down,down,up
1545,12,5,7,1970,up,up,up,up,down,down,down,down,down,up
1550,13,5,7,1970,up,up,down,down,down,down,down,down,down,up
1555,14,5,7,1970,up,up,down,down,down,down,down,down,down,up
1560,15,5,7,1970,up,up,down,down,down,down,down,down,down,up
1565,16,5,7,1970,up,up,down,down,down,down,down,down,down,up
1570,17,5,7,1970,up,up,down,down,down,down,down,down,down,up
1575,18,5,7,1970,up,up,down,down,down,down,down,down,down,up
1580,19,5,7,1970,up,up,down,down,down,down,down,down,down,up
1585,20,5,7,1970,up,up,down,down,down,down,down,down,down,up
1590,21,5,7,1970,up,up,down,down,down,down,down,down,down,up
1595,22,5,7,1970,up,up,down,down,down,down,down,down,down,up
1600,23,5,7,1970,up,up,down,down,down,down,down,down,down,up
1605,24,5,7,1970,up,up,down,down,down,down,down,down,down,up
1610,25,5,7,1970,up,up,down,down,up,up,down,down,down,up
1615,26,5,7,1970,up,up,down,down,up,up,down,down,down,up
1620,27,5,7,1970,up,up,down,down,up,up,down,down,down,up
1625,28,5,7,1970,up,up,down,down,up,up,down,down,down,up
1630,29,5,7,1970,up,up,down,down,up,up,down,down,down,up
1635,30,5,7,1970,up,up,down,down,up,up,down,down,down,up
1640,31,5,7,1970,up,up,down,down,up,up,down,down,down,up
1645,32,5,7,1970,down,down,down,down,down,down,down,down,down,up
1650,33,5,7,1970,up,up,up,up,down,down,down,down,down,up
1655,34,5,7,1970,down,down,up,up,down,down,down,down,down,up
1660,35,5,7,1970,down,down,up,up,down,down,up,up,down,up
1665,36,5,7,1970,down,down,up,up,up,up,down,down,down,down
1670,37,5,7,1970,up,up,down,down,up,up,down,down,down,up
1675,38,5,7,1970,up,up,down,down,up,up,down,down,down,up
1680,39,5,7,1970,up,up,up,up,up,up,down,down,down,up
1685,40,5,7,1970,up,up,down,down,down,down,down,down,down,up
1690,41,5,7,1970,down,down,down,down,down,down,down,down,down,up
1695,42,5,7,1970,up,up,up,up,down,down,down,down,down,up
1700,43,5,7,1970,down,down,down,down,down,down,down,down,down,up
1705,44,5,7,1970,down,down,up,up,down,down,down,down,down,up
1710,45,5,7,1970,down,down,down,down,up,up,down,down,down,up
1715,46,5,7,1970,down,down,down,down,down,down,down,down,down,up
1720,47,5,7,1970,up,up,down,down,up,up,down,down,down,up
1725,48,5,7,1970,down,down,down,down,down,down,down,down,down,up
1730,49,5,7,1970,down,down,down,down,up,up,up,up,down,up
1750,0,1,8,1980,down,down,down,down,down,down,down,down,down,up
1755,1,1,8,1980,down,down,down,down,down,down,down,down,down,up
1760,2,1,8,1980,down,down,down,down,down,down,down,down,down,up
1765,3,1,8,1980,down,down,down,down,down,down,down,down,down,up
1770,4,1,8,1980,down,down,down,down,down,down,down,down,down,up
1775,5,1,8,1980,down,down,down,down,down,down,down,down,down,up
1780,6,1,8,1980,down,down,down,down,down,down,down,down,down,up
1785,7,1,8,1980,down,down,down,down,down,down,down,down,down,up
1790,8,1,8,1980,down,down,down,down,up,up,down,down,down,up
1795,9,1,8,1980,down,down,down,down,down,down,down,down,down,up
1800,10,1,8,1980,down,down,down,down,down,down,down,down,down,up
1805,11,1,8,1980,down,down,down,down,down,down,down,down,down,up
1810,12,1,8,1980,down,down,down,down,up,up,down,down,down,up
1815,13,1,8,1980,down,down,down,down,down,down,down,down,down,up
1820,14,1,8,1980,down,down,down,down,down,down,down,down,down,up
1825,15,1,8,1980,up,up,down,down,down,down,down,down,down,up
1830,16,1,8,1980,up,up,down,down,up,up,down,down,down,up
1835,17,1,8,1980,up,up,down,down,up,up,down,down,down,up
1840,18,1,8,1980,up,up,down,down,down,down,down,down,down,up
1845,19,1,8,1980,up,up,down,down,down,down,down,down,down,up
1850,20,1,8,1980,down,down,down,down,up,up,down,down,down,up
1855,21,1,8,1980,down,down,down,down,up,up,down,down,down,up
1860,22,1,8,1980,up,up,down,down,up,up,down,down,down,up
1865,23,1,8,1980,up,up,down,down,up,up,down,down,down,up
1870,24,1,8,1980,up,up,down,down,up,up,down,down,down,up
1875,25,1,8,1980,down,down,down,down,down,down,down,down,down,up
1880,26,1,8,1980,up,up,down,down,down,down,down,down,down,up
1885,27,1,8,1980,down,down,down,down,down,down,down,down,down,up
1890,28,1,8,1980,up,up,down,down,up,up,down,down,down,up
1895,29,1,8,1980,down,down,down,down,down,down,down,down,down,up
1900,30,1,8,1980,down,down,down,down,down,down,down,down,down,up
1905,31,1,8,1980,down,down,down,down,down,down,down,down,down,up
1910,32,1,8,1980,up,up,down,down,up,up,down,down,down,up
1915,33,1,8,1980,up,up,down,down,up,up,down,down,down,up
1920,34,1,8,1980,up,up,down,down,up,up,down,down,down,up
1925,35,1,8,1980,down,down,down,down,down,down,down,down,down,up
1930,36,1,8,1980,up,up,down,down,up,up,down,down,down,up
1935,37,1,8,1980,up,up,down,down,up,up,down,down,down,up
1940,38,1,8,1980,down,down,down,down,up,up,down,down,down,up
1945,39,1,8,1980,down,down,down,down,down,down,down,down,down,up
1950,40,1,8,1980,down,down,down,down,down,down,down,down,down,up
1955,41,1,8,1980,up,up,up,up,down,down,down,down,down,up
1960,42,1,8,1980,down,down,down,down,down,down,down,down,down,up
1965,43,1,8,1980,down,down,down,down,down,down,down,down,down,up
1970,44,1,8,1980,down,down,down,down,down,down,down,down,down,up
1975,45,1,8,1980,down,down,down,down,down,down,down,down,down,up
1980,46,1,8,1980,down,down,down,down,down,down,down,down,down,up
1985,47,1,8,1980,down,down,down,down,down,down,down,down,down,up
1990,48,1,8,1980,down,down,up,up,down,down,down,down,down,up
1995,49,1,8,1980,up,up,down,down,up,up,down,down,down,up
2000,50,1,8,1980,up,up,down,down,up,up,down,down,down,up
2005,51,1,8,1980,up,up,down,down,up,up,down,down,down,up
2010,52,1,8,1980,down,down,down,down,down,down,down,down,down,up
2015,53,1,8,1980,up,up,down,down,up,up,down,down,down,up
2020,54,1,8,1980,up,up,down,down,up,up,down,down,down,up
2025,55,1,8,1980,up,up,down,down,up,up,down,down,down,up
2030,56,1,8,1980,up,up,down,down,down,down,down,down,down,up
2035,57,1,8,1980,down,down,down,down,down,down,down,down,down,up
2040,58,1,8,1980,down,down,down,down,down,down,down,down,down,up
2045,59,1,8,1980,down,down,down,down,down,down,down,down,down,up
2050,60,1,8,1980,down,down,down,down,down,down,down,down,down,up
2055,61,1,8,1980,down,down,down,down,down,down,down,down,down,up
2060,62,1,8,1980,down,down,down,down,down,down,down,down,down,up
2065,63,1,8,1980,down,down,down,down,down,down,down,down,down,up
2070,64,1,8,1980,down,down,down,down,down,down,down,down,down,up
2075,65,1,8,1980,down,down,down,down,down,down,down,down,down,up
2080,66,1,8,1980,up,up,down,down,up,up,down,down,down,up
2085,67,1,8,1980,up,up,down,down,up,up,down,down,down,up
2090,68,1,8,1980,down,down,down,down,down,down,down,down,down,up
2095,69,1,8,1980,down,down,down,down,down,down,down,down,down,up
2100,70,1,8,1980,up,up,down,down,down,down,up,up,down,up
2105,71,1,8,1980,up,up,up,up,up,up,down,down,down,up
2110,72,1,8,1980,down,down,down,down,down,down,down,down,down,up
2115,73,1,8,1980,down,down,down,down,up,up,down,down,down,up
2120,74,1,8,1980,up,up,down,down,up,up,down,down,down,up
2125,75,1,8,1980,down,down,down,down,up,up,down,down,down,up
2130,76,1,8,1980,down,down,down,down,down,down,down,down,down,up
2135,77,1,8,1980,down,down,down,down,down,down,down,down,down,up
2140,78,1,8,1980,up,up,down,down,up,up,down,down,down,up
2145,79,1,8,1980,up,up,down,down,up,up,down,down,down,up
2165,0,2,9,1980,up,up,down,down,up,up,down,down,down,up
2170,1,2,9,1980,up,up,down,down,up,up,down,down,down,up
2175,2,2,9,1980,up,up,down,down,up,up,down,down,down,up
2180,3,2,9,1980,up,up,down,down,up,up,down,down,down,up
2185,4,2,9,1980,up,up,down,down,up,up,down,down,down,up
2190,5,2,9,1980,up,up,down,down,up,up,down,down,down,up
2195,6,2,9,1980,up,up,down,down,up,up,down,down,down,up
2200,7,2,9,1980,up,up,down,down,up,up,down,down,down,up
2205,8,2,9,1980,up,up,down,down,up,up,down,down,down,up
2210,9,2,9,1980,up,up,down,down,up,up,down,down,down,up
2215,10,2,9,1980,up,up,down,down,up,up,down,down,down,up
2220,11,2,9,1980,up,up,down,down,up,up,down,down,down,up
2225,12,2,9,1980,down,down,down,down,down,down,down,down,down,up
2230,13,2,9,1980,down,down,up,up,down,down,up,up,down,up
2235,14,2,9,1980,up,up,down,down,down,down,up,up,down,up
2240,15,2,9,1980,up,up,down,down,up,up,up,up,down,up
2245,16,2,9,1980,up,up,down,down,up,up,down,down,down,up
2250,17,2,9,1980,down,down,down,down,up,up,down,down,down,up
2255,18,2,9,1980,down,down,down,down,down,down,down,down,down,up
2260,19,2,9,1980,down,down,down,down,down,down,down,down,down,up
2265,20,2,9,1980,down,down,down,down,down,down,down,down,down,up
2270,21,2,9,1980,down,down,down,down,up,up,down,down,down,up
2275,22,2,9,1980,down,down,up,up,up,up,down,down,down,up
2280,23,2,9,1980,down,down,up,up,up,up,down,down,down,up
2285,24,2,9,1980,down,down,up,up,down,down,up,up,down,up
2290,25,2,9,1980,up,up,down,down,up,up,down,down,down,up
2295,26,2,9,1980,up,up,down,down,up,up,down,down,down,up
2300,27,2,9,1980,down,down,down,down,down,down,down,down,down,up
2305,28,2,9,1980,down,down,down,down,down,down,down,down,down,up
2310,29,2,9,1980,down,down,down,down,down,down,up,up,down,up
2315,30,2,9,1980,down,down,down,down,down,down,down,down,down,up
2320,31,2,9,1980,down,down,down,down,down,down,down,down,down,up
2325,32,2,9,1980,up,up,up,up,up,up,down,down,down,up
2330,33,2,9,1980,up,up,up,up,up,up,down,down,down,down
2335,34,2,9,1980,up,up,down,down,up,up,down,down,down,up
2340,35,2,9,1980,down,down,up,up,up,up,down,down,down,up
2345,36,2,9,1980,up,up,up,up,up,up,down,down,down,up
2350,37,2,9,1980,up,up,up,up,up,up,down,down,down,up
2355,38,2,9,1980,up,up,down,down,down,down,down,down,down,up
2360,39,2,9,1980,down,down,up,up,down,down,up,up,down,up
2365,40,2,9,1980,down,down,up,up,up,up,up,up,down,down
2370,41,2,9,1980,down,down,up,up,up,up,up,up,down,up
2375,42,2,9,1980,up,up,down,down,up,up,up,up,down,down
2380,43,2,9,1980,down,down,down,down,down,down,up,up,down,up
2385,44,2,9,1980,down,down,down,down,down,down,down,down,down,up
2390,45,2,9,1980,down,down,down,down,down,down,down,down,down,up
2420,0,3,10,1980,up,up,down,down,up,up,down,down,down,up
2425,1,3,10,1980,down,down,down,down,up,up,down,down,down,up
2430,2,3,10,1980,down,down,down,down,up,up,down,down,down,up
2435,3,3,10,1980,down,down,up,up,up,up,down,down,down,down
2440,4,3,10,1980,down,down,up,up,down,down,down,down,down,up
2445,5,3,10,1980,down,down,down,down,down,down,down,down,down,down
2450,6,3,10,1980,down,down,down,down,down,down,down,down,down,up
2455,7,3,10,1980,down,down,down,down,down,down,down,down,down,down
2460,8,3,10,1980,down,down,down,down,up,up,down,down,down,up
2465,9,3,10,1980,down,down,down,down,down,down,down,down,down,up
2470,10,3,10,1980,down,down,down,down,down,down,down,down,down,up
2475,11,3,10,1980,down,down,down,down,down,down,down,down,down,up
2480,12,3,10,1980,down,down,down,down,down,down,down,down,down,up
2485,13,3,10,1980,down,down,down,down,down,down,down,down,down,up
2490,14,3,10,1980,down,down,up,up,down,down,down,down,down,up
2495,15,3,10,1980,down,down,down,down,down,down,down,down,down,up
2500,16,3,10,1980,down,down,down,down,down,down,down,down,down,up
2505,17,3,10,1980,down,down,down,down,down,down,down,down,down,up
2510,18,3,10,1980,down,down,down,down,down,down,down,down,down,up
2515,19,3,10,1980,down,down,down,down,down,down,down,down,down,up
2520,20,3,10,1980,down,down,down,down,down,down,up,up,down,up
2525,21,3,10,1980,down,down,down,down,down,down,down,down,down,up
2530,22,3,10,1980,down,down,down,down,down,down,down,down,down,up
2535,23,3,10,1980,down,down,down,down,down,down,down,down,down,up
2540,24,3,10,1980,down,down,down,down,down,down,down,down,down,up
2545,25,3,10,1980,down,down,down,down,down,down,down,down,down,up
2550,26,3,10,1980,down,down,down,down,down,down,down,down,down,up
2555,27,3,10,1980,down,down,up,up,down,down,down,down,down,up
2560,28,3,10,1980,down,down,down,down,down,down,down,down,down,up
